,DEP_DELAY(MINS),CRS_ELAPSED_TIME(MINS),NR_PREV_ARR_FLIGHTS(1HR),ARR_DAY_SIN,ARR_DAY_COS,ARR_MIN_OF_DAY_SIN,ARR_MIN_OF_DAY_COS,APPROACH_SPEED(KMH),TAIL_HEIGHT(M),PARKING_AREA(SQM),WINGLETS(YN),TEMP(C),DEWPOINT_TEMP(C),REL_HUMIDITY(PERCENT),WIND_DRCT(DEG),WIND_SPEED(KMH),1HOUR_PRECIPITATION(INCH),SEA_LEVEL_PRESSURE(MILLIBAR),VISIBILITY(MILES),EVENT_BR,EVENT_DZ,EVENT_FG,EVENT_FU,EVENT_GR,EVENT_GS,EVENT_HZ,EVENT_IC,EVENT_RA,EVENT_SN,EVENT_TS,RUNWAY_ERROR(PERC)
8479464,-4,158,79,0.9749279121818236,-0.22252093395631434,-0.7009092642998509,-0.7132504491541817,255.57600000000002,9.000744000000001,1525.1765143069492,1,25.0,22.77777777777778,87.48,220.0,7.408,0.0,1020.9,9.0,0,0,0,0,0,0,0,0,0,0,0,1.0
7072882,3,164,68,-0.433883739117558,-0.9009688679024191,-0.7575649843840496,0.6527597524627224,251.872,12.079224000000002,1281.2151616499443,1,16.722222222222225,-0.6111111111111119,30.73,300.0,29.632,0.0,1016.2,10.0,0,0,0,0,0,0,0,0,0,0,0,0.4
9771658,-4,220,61,-0.433883739117558,-0.9009688679024191,-0.34202014332566866,-0.9396926207859084,261.132,12.624816000000001,1445.0947603121517,0,21.72222222222222,18.277777777777782,80.78,80.0,9.26,0.0,1015.9,10.0,0,0,0,0,0,0,0,0,0,0,0,1.0
6107361,-2,82,60,-0.433883739117558,-0.9009688679024191,-0.5262139236518696,-0.8503522249955628,255.57600000000002,9.000744000000001,1525.1765143069492,1,7.777777777777779,3.2777777777777772,73.18,310.0,12.964,0.0,1023.0,10.0,0,0,0,0,0,0,0,0,0,0,0,1.0
8969535,8,157,25,0.43388373911755823,-0.900968867902419,-0.10452846326765342,0.9945218953682733,264.836,13.639800000000001,2071.0702341137126,0,26.97222222222222,20.86111111111111,69.23,120.0,5.556,0.0,1018.0,10.0,0,0,0,0,0,0,0,0,2,2,0,0.6
10877337,-6,127,65,0.0,1.0,-0.8526401643540921,0.522498564715949,255.57600000000002,9.000744000000001,1525.1765143069492,1,17.77777777777778,9.38888888888889,57.91,110.0,18.52,0.0,1024.6,10.0,0,0,0,0,0,0,0,0,0,0,0,0.2
8829390,-5,131,65,0.9749279121818236,-0.22252093395631434,-0.9753423205085129,0.2206974350215004,233.352,12.109703999999999,1153.9390561129692,1,32.77777777777778,20.0,46.99,60.0,14.816,0.0,1018.8,10.0,0,0,0,0,0,0,0,0,0,0,0,1.0
11239571,-2,87,40,0.43388373911755823,-0.900968867902419,-0.9496991262018767,-0.3131638064837503,255.57600000000002,9.000744000000001,1525.1765143069492,1,3.8888888888888893,-2.7777777777777777,61.78,80.0,20.372,0.0,1031.5,10.0,0,0,0,0,0,0,0,0,0,0,0,0.0
9851292,-6,84,65,0.43388373911755823,-0.900968867902419,-0.8724960070727971,0.48862124149695496,259.28000000000003,6.3246,560.2935711631364,1,31.111111111111114,15.0,37.66,290.0,7.408,0.0,1012.6,10.0,0,0,0,0,0,0,0,0,0,0,0,0.8
6630439,-4,186,80,-0.433883739117558,-0.9009688679024191,0.7193398003386514,-0.694658370458997,255.57600000000002,9.000744000000001,1525.1765143069492,1,15.611111111111112,6.111111111111112,53.15,230.0,14.816,0.0,1015.7,10.0,0,0,0,0,0,0,0,0,0,0,0,0.6
7488576,7,295,24,0.43388373911755823,-0.900968867902419,-0.27982901403099325,0.9600498543859284,261.132,12.624816000000001,1445.0947603121517,0,15.805555555555557,15.0,96.15,130.0,39.818000000000005,0.11,1005.7,3.0,2,0,0,0,0,0,0,0,2,0,0,1.0
8821209,-6,67,67,0.7818314824680298,0.6234898018587336,-0.7632324697825289,-0.6461239796429639,257.428,9.043416,1075.1579338535862,0,25.0,22.22222222222222,84.58,280.0,9.26,0.0,1019.0,10.0,0,0,0,0,0,0,0,0,0,0,0,1.0
